date,track_id,track_name,artist,popularity,name
2025-06-27,71i3b8BtjpCkUZArQ4wjrn,,"Johnny Clegg, Savuka",40,Great Heart
2025-06-27,1MzgAa6fUqeUuLipCnTyak,,Freshlyground,41,Doo Be Doo
2025-06-27,4lREWdy8FhQvZgRRZWzGUv,,"Johnny Clegg, Savuka",48,Dela
2025-06-27,1j3gNx31bvz2DBuOp0M9LK,,"Johnny Clegg, Juluka",0,Impi
2025-06-27,25u53mEJMoUkHcBWYavOVT,,"Johnny Clegg, Savuka",46,Asimbonanga (Mandela)
2025-06-27,7sd05TOoVy9oiIfuHQ7Tpe,,"Johnny Clegg, Savuka",45,Scatterlings of Africa
2025-06-27,2hZoDfFT94E9oJLQ6zydKL,,Mango Groove,0,Special Star
2025-06-27,1GZnWwlSwpOgdvlTz7NonI,,"Johnny Clegg, Savuka",33,The Crossing (Osiyeza)
2025-06-27,6W99yGcIH43jskdRA7idD3,,Eddy Grant,52,Gimme Hope Jo'Anna
2025-06-27,2dN6ZxgmN21aRTNeDDI4qB,,Kurt Darren,46,Kaptein
2025-06-27,4otnuHdvcl5AiX6R61YsOz,,Mandoza,36,Nkalakatha
2025-06-27,3r93SrSXUe0LBR3fnb3QYs,,Kurt Darren,42,Loslappie - Ek Wil Huistoe Gaan
2025-06-27,4TwkAC4K0XCbhf6HAPYJNF,,"Johnny Clegg, Savuka",31,I Call Your Name
2025-06-27,15lW7MKcnprhsReAmQ2E95,,Freshlyground,41,I'd Like
2025-06-27,6S1cd5F5cpflZq6bAXQmg1,,Freshlyground,44,Nomvula (After the Rain)
2025-06-27,7vLHDdIIO862CZeRSx62mp,,Die Antwoord,57,Enter The Ninja
2025-06-27,1iRcgxgjoh4grJNVxxyDYk,,"Prince Kaybee, Lady Zamar",0,Charlotte
2025-06-27,7od1iIHmDdFSeaLvNF6mCM,,Beatenberg,42,Rafael
2025-06-27,59oBTOQ2aidtB5RRbfLdRz,,Beatenberg,37,Pluto - Live
2025-06-27,1CPFvrIAwPNlLZHgfVOqye,,GoldFish,36,No One Has To Know
2025-06-27,33dI106R5aisHtTUVpwGQi,,"Black Coffee, David Guetta, Delilah Montagu",47,Drive (feat. Delilah Montagu)
2025-06-27,0gDYE1XVoRj4GXa1ab1VjI,,Bright Blue,0,Weeping
2025-06-27,5g43jXUmcYbDa5lOv2cyzC,,Vicky Sampson,0,African Dream
2025-06-27,6djogrE7rj6KTRE7OfxZkw,,Arno Carstens,42,Another Universe
2025-06-27,2p8a7s3wwGmBsiBhAw3gvJ,,GoldFish,36,Fort Knox
2025-06-27,0eOmeyp6CdYKkKQZg5lX98,,GoldFish,36,Hold Tight
2025-06-27,4w3gQGLfOdygxcSV16b9Sv,,GoldFish,33,Soundtracks & Come Backs
2025-06-27,3ImUnIGxgbpvBouzIMnwT6,,Prime Circle,0,She Always Gets What She Wants
2025-06-27,6InKj0hzX0CFIUmvkFYnFp,,"Jeremy Loops, Motheo Moleko",55,Down South
2025-06-27,21n5RtxLTUNNMsEEVRyMno,,"De Hofnar, GoodLuck",36,Back In The Day - Extended Mix
2025-06-27,5BsYcBRgqetNrAKpQzpHrK,,Shortstraw,40,Couch Potato
2025-06-27,1wzXBdFFWIOEKzVG9JmbEm,,Sipho 'Hotstix' Mabuse,0,Burn Out
2025-06-27,3chb2A5xte2NDK3GcAytJT,,The Parlotones,0,Push Me to the Floor
2025-06-27,3mN9RcQg6oSPDSumrYNLFa,,Matthew Mole,59,"Take Yours, I'll Take Mine"
2025-06-27,4w2QqBnvtWdj4L7QIZxIQW,,aKING,35,Against All Odds
2025-06-27,0t8R66DymqgWq2BjureW9r,,Brenda & The Big Dudes,44,Weekend Special
2025-06-27,42iGZTPenlDdfSBt60PsP9,,The Parlotones,0,Colourful
2025-06-27,2M2N194KufzOID33k2WJQh,,Prime Circle,0,Breathing
2025-06-27,79UN5sLaMZOzXEt14tdzf8,,Jesse Clegg,0,Today
2025-06-27,31TjeXsbZmwBbJqhwn6YG7,,Mango Groove,0,Pennywhistle
2025-06-27,5ZtUYbUWhNYE0fi5lbIGIs,,Yemi Alade,0,Johnny
2025-06-27,7d3cKDG22Ig9kZOS1qsq3S,,Miriam Makeba,0,Pata Pata - Stereo Version
2025-06-27,2cVE8I5NPKd1fI2Qe10vfk,,"Johnny Clegg & Juluka, Sipho Mchunu",0,December African Rain
2025-06-27,4GTTDffF6FUpZs8qtovYCc,,Mango Groove,0,The Lion Sleeps Tonight
2025-06-27,2374M0fQpWi3dLnB54qaLX,,TOTO,90,Africa
2025-06-27,79EZCPwVxh2E6NFBMJt90c,,Prime Circle,41,Hello
2025-06-27,40ZTTezGy5R2Led0sO0kn6,,Paul Simon,51,Under African Skies
2025-06-27,0bUJg1UvuWTZA6jj0KsKb8,,"IPI NTOMBI, Margaret Singana",21,Mama Tembu's Wedding (Remastered) [feat. Margaret Singana]
2025-06-27,2Cd9iWfcOpGDHLz6tVA3G4,,"Shakira, Freshlyground",13,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)
2025-06-27,72hPLXwM2koQ1DDerTGn5D,,The Usual,20,The Shape That I'm In
2025-06-27,5mLqm5pmZozHmJltZrlUVT,,Malaika,49,Destiny
2025-06-27,2mwr97yna2c6I2q3bg1RRX,,Mango Groove,0,Hellfire
2025-06-27,28XLqtbii0bdwE5rrOojQk,,The Parlotones,0,I'll Be There
2025-06-27,13lumrL4b1cw4htq7R2uKV,,Watershed,44,Indigo Girl
2025-06-27,5u03YREbTNrkLCb4HBMgqp,,The Dirty Skirts,0,Daddy Don't Disco
2025-06-27,3wzd64vFn0HGDmNSY85xJd,,Henry Ate,0,Hey Mister
2025-06-27,5VOf7hmKLdJtEfbAd4S78b,,Arno Carstens,31,Hole Heart
2025-06-27,5aKfmY5yL6I6scE18C4se6,,Watershed,37,Letters
2025-06-27,0ZRNKnoh7z1Qjn1opinFbz,,"Johnny Clegg & Juluka, Sipho Mchunu",0,Kilimanjaro
2025-06-27,26vwkERSsKL7X7nLRmaPFj,,"AFROJACK, Eva Simons",1,Take Over Control - Radio Edit
2025-06-27,6lrXObYHSoKkuNqDnonC5f,,Gangs of Ballet,23,Hello Sweet World
2025-06-27,4c3ZblqLbAmXIhlyOopuOu,,Gangs of Ballet,31,Don't Let Me Go
2025-06-27,7tEXi6HF2KxfFwCqYh6utW,,Shortstraw,32,"Good Morning, Sunshine"
2025-06-27,2aW3I4noyHND808XWiIx62,,Freshlyground,34,Fire Is Low
2025-06-27,35cq4hpEziaZeR278Z0l3m,,Lady Zamar,54,Collide
2025-06-27,0x3T8PGQH5xeZ1towZqecI,,Mafikizolo,0,Ndihamba Nawe
2025-06-27,3JPrTUwhK3Utti9ilI75fB,,Yvonne Chaka Chaka,44,Umqombothi
2025-06-27,4fBxUtH4erpLDc2BEvUkgf,,Jack Parow,38,Cooler as Ekke
2025-06-27,2IlX1cbIqZRkkEhr5iax4Q,,Jack Parow,29,I Miss
2025-06-27,0rwDgOaQrc8gwP87zEB3kY,,"Jack Parow, Gazelle, Dj Invizable",38,Hosh Tokolosh
2025-06-27,3sB3oBljvrQZrvLzupXvji,,Joy,0,Paradise Road
2025-06-27,17nOJOcPbcl4sKzM2yyYDp,,Rodríguez,65,Sugar Man
2025-06-27,2zrtp9krR2IyT9mi2PaIBC,,Rodríguez,62,I Wonder
2025-06-27,0QM8IOYgFzvWcBYn0oi0Cs,,"Bob James, David Sanborn",45,Maputo
2025-06-27,1FATW3RXeEWU2y3jFVMYp4,,Veranda Panda,19,Sugarbee
2025-06-27,7Kxl9klmNx84PyTFL7hko1,,Mi Casa,0,Jika
2025-06-27,0ZAyAqsgCIBMjKhZrcw1D8,,Chicco,39,I Need Some Money
2025-06-27,72uJ6u4XNZrZ3qNeSsXiOK,,Just Jinger,0,What He Means
2025-06-27,79X7Y0Td0OBnHNfyDcfP67,,eVOID,7,Shoes
2025-06-27,7jH47uEvcW2VYFD3wB03JE,,Johnny Clegg,41,King Of Time
2025-06-27,0AkwDIWOKki7s0WtbrYwen,,Dr Victor,0,If You Wanna Be Happy
2025-06-27,2QNsysOmjS5Geh6baIetb4,,"Spiritchaser, Est8",32,These Tears - Est8 Remix
2025-06-27,0qxYx4F3vm1AOnfux6dDxP,,Paul Simon,81,You Can Call Me Al
2025-06-27,03k59osMOxlU0OBDiTTHmg,,Euphonik,23,Domination
2025-06-27,2agd8zFjkoJi4CffsR4V2O,,"Prince Kaybee, Msaki",36,Fetch Your Life - Edit
2025-06-27,2JB4Z7yOuyrCBjMHYLrxD6,,eVOID,35,Shadows
2025-06-27,3fJ75JKYcfOerkRGj29Plh,,Blk Sonshine,0,Born in a Taxi
2025-06-27,5R6SF0I4VRZHlRMBhtBU0S,,GoldFish,42,The Real Deal
2025-06-27,3OMlktZA9K9eMVpIVGWIZS,,GoodLuck,32,Taking it Easy - Radio Edit
2025-06-27,7BnEt4gHFfjcqC1DEqwRHm,,Mafikizolo,43,Ngeke Balunge
